year,title,conference,location,date
2022,儲集層非均質結構之井深度及裂隙傾角對生產溫度影響：以清水地熱為例,中國機械工程學會第三十九屆全國學術研討會,國立聯合大學,2022/12/3
2022,整合地熱電廠儲集層取熱與雙循環發電系統之效能與經濟分析,科技部工程司110年度能源學門成果發表會,國立聯合大學,2022/12/2
2023,以廢棄香菇栽培基質作為生質能燃料之可行性與性能分析,台灣機電工程國際學會2023年第8屆全國學術研討會,高雄國際會議中心,2023/4/28
2023,中高溫熱管之傾斜角度與工作流體填充率對性能影響之實驗研究,2023 GTEA綠色科技工程與應用研討會,國立勤益科技大學,2023/5/26
2023,萘-鈦熱管性能影響之實驗研究,CTAM 2023 - 中華民國力學學會年會暨第四十七屆全國力學會議,國立虎尾科技大學,2023/11/17
2023,燃料濕度及系統冷凝溫度對生質能系統之影響,CSME 2023中國機械工程學會第四十屆全國學術研討會,國立彰化師範大學,2023/12/2
2023,過熱度對有機朗肯循環系統性能影響之實驗,CSME 2023中國機械工程學會第四十屆全國學術研討會,國立彰化師範大學,2023/12/2
2024,軸向式渦輪膨脹機轉速對離點性能影響之數值研究,台灣機電工程國際學會 2024 年第九屆全國學術研討會,國立宜蘭大學,2024/4/26
2024,SMS元素比例對生質能發電系統淨輸出功及乾燥設備成本之影響,台灣機電工程國際學會 2024 年第九屆全國學術研討會,國立宜蘭大學,2024/4/26
2024,Dowtherm-A 熱管在不同填充率和熱負載下之實驗研究,台灣機電工程國際學會 2024 年第九屆全國學術研討會,國立宜蘭大學,2024/4/26
2024,有機朗肯循環之蒸發溫度對生質能多聯產系統性能及經濟分析,第十九屆全國氫能與燃料電池學術研討會,國立勤益科技大學,2024/9/21
2024,多井系統下地熱儲集層性能的數值模擬與參數研究,中國機械工程學會第四十一屆全國學術研討會,國立高雄科技大學,2024/11/15
2024,改良之旋葉式膨脹機對有機朗肯循環性能的影響,中國機械工程學會第四十一屆全國學術研討會,國立高雄科技大學,2024/11/15
2024,結合鈦熱管與熱電晶片於高溫廢熱回收之實驗研究,中國機械工程學會第四十一屆全國學術研討會,國立高雄科技大學,2024/11/15
2025,台灣常見農業廢棄物之氣化性能比較研究,台灣機電工程國際學會 2025 年第十屆全國學術研討會,國立成功大學,2025/5/2
2025,閃發地熱電廠之軸向渦輪膨脹離點性能之數值分析,台灣機電工程國際學會 2025 年第十屆全國學術研討會,國立成功大學,2025/5/2
2025,改良之旋葉式膨脹機對小型有機朗肯循環性能的影響,台灣機電工程國際學會 2025 年第十屆全國學術研討會,國立成功大學,2025/5/2
2025,具多井系統之清水地熱儲集層數值分析,台灣機電工程國際學會 2025 年第十屆全國學術研討會,國立成功大學,2025/5/2
2025,應用MOJAYA於生質能多聯產系統之多目標最佳化,台灣機電工程國際學會 2025 年第十屆全國學術研討會,國立成功大學,2025/5/2
2025,結合類神經網路與多種演算法的生質能系統最佳化研究,2025 GTEA綠色科技工程與應用研討會,國立勤益科技大學,2025/5/23
2025,蒸發與冷凝溫度對農業廢棄物多聯產系統性能分析,2025 國際氫能與燃料電池學術研討會暨氫能與燃料電池技術論壇,國立中山大學,2025/6/20
2025,低GWP工作流體在有機朗肯循環中取代R134a之可行性分析,中國機械工程學會第四十二屆全國學術研討會,國立陽明交通大學,2025/12/5
2025,以清水儲集層特性為基礎之雙閃發雙循環地熱系統分析,中國機械工程學會第四十二屆全國學術研討會,國立陽明交通大學,2025/12/5
